ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLL
-3.096,-10.24,-15.409,15.444,-14.52,4.696,0.0005
-0.012,-10.24,-15.409,15.444,-14.52,4.696,0.0008
1.246,-10.24,-15.409,15.444,-14.52,4.696,0.0008
3.207,-10.24,-15.409,15.444,-14.52,4.696,0.0019
3.382,-10.24,-15.409,15.444,-14.52,4.696,0.0019
5.86,-10.24,-15.409,15.444,-14.52,4.696,0.0013
5.882,-10.24,-15.409,15.444,-14.52,4.696,0.0013
9.272,-10.24,-15.409,15.444,-14.52,4.696,-0.0002
12.106,-10.24,-15.409,15.444,-14.52,4.696,-0.0016
12.86,-10.24,-15.409,15.444,-14.52,4.696,-0.0019
-14.537,-12.1,-14.239,19.053,-4.9,-2.874,0.0033
-12.498,-12.1,-14.239,19.053,-4.9,-2.874,0.0031
-10.567,-12.1,-14.239,19.053,-4.9,-2.874,0.0034
-7.977,-12.1,-14.239,19.053,-4.9,-2.874,0.0054
-6.45,-12.1,-14.239,19.053,-4.9,-2.874,0.0054
-6.086,-12.1,-14.239,19.053,-4.9,-2.874,0.0048
-4.755,-12.1,-14.239,19.053,-4.9,-2.874,0.0027
-1.9,-12.1,-14.239,19.053,-4.9,-2.874,0.0005
-0.396,-12.1,-14.239,19.053,-4.9,-2.874,0.0003
5.296,-12.1,-14.239,19.053,-4.9,-2.874,0.0021
6.763,-12.1,-14.239,19.053,-4.9,-2.874,0.0028
9.376,-12.1,-14.239,19.053,-4.9,-2.874,0.004
11.717,-12.1,-14.239,19.053,-4.9,-2.874,0.0036
14.237,-12.1,-14.239,19.053,-4.9,-2.874,0.0014
-14.945,-10.52,-8.995,-12.327,-7.338,8.024,0.0009
-14.677,-10.52,-8.995,-12.327,-7.338,8.024,0.0008
-12.385,-10.52,-8.995,-12.327,-7.338,8.024,0.0001
-11.308,-10.52,-8.995,-12.327,-7.338,8.024,-0.0002
-7.024,-10.52,-8.995,-12.327,-7.338,8.024,-0.0038
-3.421,-10.52,-8.995,-12.327,-7.338,8.024,-0.0084
-1.772,-10.52,-8.995,-12.327,-7.338,8.024,-0.0098
-1.491,-10.52,-8.995,-12.327,-7.338,8.024,-0.0099
0.483,-10.52,-8.995,-12.327,-7.338,8.024,-0.0101
4.657,-10.52,-8.995,-12.327,-7.338,8.024,-0.0114
7.594,-10.52,-8.995,-12.327,-7.338,8.024,-0.0037
