ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CY
3.692,6.42,1.32,19.379,16.791,-19.211,-0.6034
4.355,6.42,1.32,19.379,16.791,-19.211,-0.6118
5.654,6.42,1.32,19.379,16.791,-19.211,-0.6272
5.715,6.42,1.32,19.379,16.791,-19.211,-0.6277
8.88,6.42,1.32,19.379,16.791,-19.211,-0.5714
11.146,6.42,1.32,19.379,16.791,-19.211,-0.5034
-14.498,7.61,-8.06,14.805,-12.908,6.365,-0.9647
-12.664,7.61,-8.06,14.805,-12.908,6.365,-1.0352
-11.721,7.61,-8.06,14.805,-12.908,6.365,-1.0595
-9.325,7.61,-8.06,14.805,-12.908,6.365,-0.9588
-8.516,7.61,-8.06,14.805,-12.908,6.365,-0.9217
-8.003,7.61,-8.06,14.805,-12.908,6.365,-0.8959
-7.536,7.61,-8.06,14.805,-12.908,6.365,-0.8714
-5.886,7.61,-8.06,14.805,-12.908,6.365,-0.7925
-4.021,7.61,-8.06,14.805,-12.908,6.365,-0.7713
1.486,7.61,-8.06,14.805,-12.908,6.365,-0.8359
3.487,7.61,-8.06,14.805,-12.908,6.365,-0.8247
4.871,7.61,-8.06,14.805,-12.908,6.365,-0.8186
4.967,7.61,-8.06,14.805,-12.908,6.365,-0.8188
9.956,7.61,-8.06,14.805,-12.908,6.365,-0.9874
-14.834,7.28,11.33,-7.08,1.519,15.741,-0.8838
-11.361,7.28,11.33,-7.08,1.519,15.741,-0.8695
-9.854,7.28,11.33,-7.08,1.519,15.741,-0.8722
-9.482,7.28,11.33,-7.08,1.519,15.741,-0.8696
-3.892,7.28,11.33,-7.08,1.519,15.741,-0.8111
-2.609,7.28,11.33,-7.08,1.519,15.741,-0.8197
3.5,7.28,11.33,-7.08,1.519,15.741,-0.8561
4.539,7.28,11.33,-7.08,1.519,15.741,-0.8608
5.373,7.28,11.33,-7.08,1.519,15.741,-0.8613
10.278,7.28,11.33,-7.08,1.519,15.741,-0.8401
11.86,7.28,11.33,-7.08,1.519,15.741,-0.861
12.079,7.28,11.33,-7.08,1.519,15.741,-0.8638
12.096,7.28,11.33,-7.08,1.519,15.741,-0.864
13.305,7.28,11.33,-7.08,1.519,15.741,-0.8752
-14.753,7.25,0.336,-8.796,-12.918,-8.191,-1.0313
-12.133,7.25,0.336,-8.796,-12.918,-8.191,-1.175
-11.065,7.25,0.336,-8.796,-12.918,-8.191,-1.2897
-7.169,7.25,0.336,-8.796,-12.918,-8.191,-1.1212
-3.856,7.25,0.336,-8.796,-12.918,-8.191,-0.9118
-3.055,7.25,0.336,-8.796,-12.918,-8.191,-0.8876
-2.852,7.25,0.336,-8.796,-12.918,-8.191,-0.885
-2.14,7.25,0.336,-8.796,-12.918,-8.191,-0.8857
-0.597,7.25,0.336,-8.796,-12.918,-8.191,-0.9
-0.203,7.25,0.336,-8.796,-12.918,-8.191,-0.9029
0.029,7.25,0.336,-8.796,-12.918,-8.191,-0.9043
1.457,7.25,0.336,-8.796,-12.918,-8.191,-0.9082
5.9,7.25,0.336,-8.796,-12.918,-8.191,-0.9901
6.095,7.25,0.336,-8.796,-12.918,-8.191,-1.0004
-14.475,-12.13,11.347,15.802,-14.101,12.127,1.3285
-14.019,-12.13,11.347,15.802,-14.101,12.127,1.338
-6.24,-12.13,11.347,15.802,-14.101,12.127,1.4662
-4.335,-12.13,11.347,15.802,-14.101,12.127,1.4916
-4.077,-12.13,11.347,15.802,-14.101,12.127,1.4939
-2.294,-12.13,11.347,15.802,-14.101,12.127,1.5044
-1.612,-12.13,11.347,15.802,-14.101,12.127,1.5057
-0.669,-12.13,11.347,15.802,-14.101,12.127,1.5056
0.477,-12.13,11.347,15.802,-14.101,12.127,1.503
5.771,-12.13,11.347,15.802,-14.101,12.127,1.4662
6.978,-12.13,11.347,15.802,-14.101,12.127,1.4573
9.467,-12.13,11.347,15.802,-14.101,12.127,1.4156
9.915,-12.13,11.347,15.802,-14.101,12.127,1.4076
13.072,-12.13,11.347,15.802,-14.101,12.127,1.3536
-14.726,8.37,-12.996,19.792,19.435,-15.437,-0.494
-14.17,8.37,-12.996,19.792,19.435,-15.437,-0.4994
-11.174,8.37,-12.996,19.792,19.435,-15.437,-0.6515
-4.918,8.37,-12.996,19.792,19.435,-15.437,-0.7998
-2.264,8.37,-12.996,19.792,19.435,-15.437,-0.8006
