ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CA
-11.414,6.42,1.32,19.379,16.791,-19.211,0.156
-10.169,6.42,1.32,19.379,16.791,-19.211,0.1703
-8.181,6.42,1.32,19.379,16.791,-19.211,0.192
-0.251,6.42,1.32,19.379,16.791,-19.211,0.258
0.422,6.42,1.32,19.379,16.791,-19.211,0.261
2.108,6.42,1.32,19.379,16.791,-19.211,0.2657
3.692,6.42,1.32,19.379,16.791,-19.211,0.2664
4.355,6.42,1.32,19.379,16.791,-19.211,0.2656
5.654,6.42,1.32,19.379,16.791,-19.211,0.2627
5.715,6.42,1.32,19.379,16.791,-19.211,0.2625
8.88,6.42,1.32,19.379,16.791,-19.211,0.2507
11.146,6.42,1.32,19.379,16.791,-19.211,0.2381
-14.498,7.61,-8.06,14.805,-12.908,6.365,0.123
-12.664,7.61,-8.06,14.805,-12.908,6.365,0.1462
-11.721,7.61,-8.06,14.805,-12.908,6.365,0.1567
-9.325,7.61,-8.06,14.805,-12.908,6.365,0.1788
-8.516,7.61,-8.06,14.805,-12.908,6.365,0.185
-8.003,7.61,-8.06,14.805,-12.908,6.365,0.1886
-7.536,7.61,-8.06,14.805,-12.908,6.365,0.1918
-5.886,7.61,-8.06,14.805,-12.908,6.365,0.2016
-4.021,7.61,-8.06,14.805,-12.908,6.365,0.2104
1.486,7.61,-8.06,14.805,-12.908,6.365,0.2216
3.487,7.61,-8.06,14.805,-12.908,6.365,0.2206
4.871,7.61,-8.06,14.805,-12.908,6.365,0.2174
4.967,7.61,-8.06,14.805,-12.908,6.365,0.2171
9.956,7.61,-8.06,14.805,-12.908,6.365,0.191
-14.834,7.28,11.33,-7.08,1.519,15.741,0.1641
-11.361,7.28,11.33,-7.08,1.519,15.741,0.1975
-9.854,7.28,11.33,-7.08,1.519,15.741,0.2084
-9.482,7.28,11.33,-7.08,1.519,15.741,0.2107
-3.892,7.28,11.33,-7.08,1.519,15.741,0.2247
-2.609,7.28,11.33,-7.08,1.519,15.741,0.2228
3.5,7.28,11.33,-7.08,1.519,15.741,0.1968
4.539,7.28,11.33,-7.08,1.519,15.741,0.1903
5.373,7.28,11.33,-7.08,1.519,15.741,0.1847
10.278,7.28,11.33,-7.08,1.519,15.741,0.1423
11.86,7.28,11.33,-7.08,1.519,15.741,0.1239
12.079,7.28,11.33,-7.08,1.519,15.741,0.1212
12.096,7.28,11.33,-7.08,1.519,15.741,0.121
13.305,7.28,11.33,-7.08,1.519,15.741,0.1048
-14.753,7.25,0.336,-8.796,-12.918,-8.191,0.1166
