ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CN
1.707,-6.25,16.286,-17.615,5.102,0.859,0.0139
8.679,-6.25,16.286,-17.615,5.102,0.859,0.9264
9.135,-6.25,16.286,-17.615,5.102,0.859,0.9932
14.3,-6.25,16.286,-17.615,5.102,0.859,1.8017
-14.487,-10.24,-15.409,15.444,-14.52,4.696,-1.8447
-12.529,-10.24,-15.409,15.444,-14.52,4.696,-1.5282
-5.501,-10.24,-15.409,15.444,-14.52,4.696,-0.506
-5.083,-10.24,-15.409,15.444,-14.52,4.696,-0.4527
-3.096,-10.24,-15.409,15.444,-14.52,4.696,-0.2137
-0.012,-10.24,-15.409,15.444,-14.52,4.696,0.088
1.246,-10.24,-15.409,15.444,-14.52,4.696,0.2043
3.207,-10.24,-15.409,15.444,-14.52,4.696,0.3937
3.382,-10.24,-15.409,15.444,-14.52,4.696,0.4125
5.86,-10.24,-15.409,15.444,-14.52,4.696,0.6939
5.882,-10.24,-15.409,15.444,-14.52,4.696,0.6966
9.272,-10.24,-15.409,15.444,-14.52,4.696,1.1377
12.106,-10.24,-15.409,15.444,-14.52,4.696,1.5654
12.86,-10.24,-15.409,15.444,-14.52,4.696,1.6876
-14.537,-12.1,-14.239,19.053,-4.9,-2.874,-1.7804
-12.498,-12.1,-14.239,19.053,-4.9,-2.874,-1.4296
-10.567,-12.1,-14.239,19.053,-4.9,-2.874,-1.1093
-7.977,-12.1,-14.239,19.053,-4.9,-2.874,-0.7092
-6.45,-12.1,-14.239,19.053,-4.9,-2.874,-0.4955
-6.086,-12.1,-14.239,19.053,-4.9,-2.874,-0.4469
-4.755,-12.1,-14.239,19.053,-4.9,-2.874,-0.277
-1.9,-12.1,-14.239,19.053,-4.9,-2.874,0.0154
-0.396,-12.1,-14.239,19.053,-4.9,-2.874,0.145
5.296,-12.1,-14.239,19.053,-4.9,-2.874,0.6807
6.763,-12.1,-14.239,19.053,-4.9,-2.874,0.8628
9.376,-12.1,-14.239,19.053,-4.9,-2.874,1.2183
11.717,-12.1,-14.239,19.053,-4.9,-2.874,1.5746
14.237,-12.1,-14.239,19.053,-4.9,-2.874,1.9851
-14.945,-10.52,-8.995,-12.327,-7.338,8.024,-2.114
-14.677,-10.52,-8.995,-12.327,-7.338,8.024,-2.0724
-12.385,-10.52,-8.995,-12.327,-7.338,8.024,-1.7227
-11.308,-10.52,-8.995,-12.327,-7.338,8.024,-1.5632
-7.024,-10.52,-8.995,-12.327,-7.338,8.024,-0.9645
-3.421,-10.52,-8.995,-12.327,-7.338,8.024,-0.5219
-1.772,-10.52,-8.995,-12.327,-7.338,8.024,-0.3515
-1.491,-10.52,-8.995,-12.327,-7.338,8.024,-0.3239
0.483,-10.52,-8.995,-12.327,-7.338,8.024,-0.1335
4.657,-10.52,-8.995,-12.327,-7.338,8.024,0.309
7.594,-10.52,-8.995,-12.327,-7.338,8.024,0.6876
10.666,-10.52,-8.995,-12.327,-7.338,8.024,1.1417
11.75,-10.52,-8.995,-12.327,-7.338,8.024,1.3169
12.737,-10.52,-8.995,-12.327,-7.338,8.024,1.4821
-11.029,-2.17,-8.576,8.673,11.365,-1.332,-1.354
-10.619,-2.17,-8.576,8.673,11.365,-1.332,-1.2911
-8.709,-2.17,-8.576,8.673,11.365,-1.332,-1.0069
-7.835,-2.17,-8.576,8.673,11.365,-1.332,-0.8793
-4.45,-2.17,-8.576,8.673,11.365,-1.332,-0.4485
0.015,-2.17,-8.576,8.673,11.365,-1.332,0.0789
0.918,-2.17,-8.576,8.673,11.365,-1.332,0.1696
1.004,-2.17,-8.576,8.673,11.365,-1.332,0.1783
3.056,-2.17,-8.576,8.673,11.365,-1.332,0.3992
5.009,-2.17,-8.576,8.673,11.365,-1.332,0.5941
5.127,-2.17,-8.576,8.673,11.365,-1.332,0.6056
5.593,-2.17,-8.576,8.673,11.365,-1.332,0.673
6.515,-2.17,-8.576,8.673,11.365,-1.332,0.8289
7.473,-2.17,-8.576,8.673,11.365,-1.332,0.9746
-8.499,5.3,18.951,8.73,-0.482,6.793,-1.0486
-6.76,5.3,18.951,8.73,-0.482,6.793,-0.8004
-6.189,5.3,18.951,8.73,-0.482,6.793,-0.7188
-5.82,5.3,18.951,8.73,-0.482,6.793,-0.6735
2.022,5.3,18.951,8.73,-0.482,6.793,0.2137
4.345,5.3,18.951,8.73,-0.482,6.793,0.4853
4.658,5.3,18.951,8.73,-0.482,6.793,0.525
4.712,5.3,18.951,8.73,-0.482,6.793,0.532
4.822,5.3,18.951,8.73,-0.482,6.793,0.5462
9.33,5.3,18.951,8.73,-0.482,6.793,1.1739
9.354,5.3,18.951,8.73,-0.482,6.793,1.1774
9.663,5.3,18.951,8.73,-0.482,6.793,1.2228
13.235,5.3,18.951,8.73,-0.482,6.793,1.7698
14.016,5.3,18.951,8.73,-0.482,6.793,1.8967
-9.083,-13.09,1.303,11.661,-17.266,18.126,-1.0252
-8.141,-13.09,1.303,11.661,-17.266,18.126,-0.8922
-6.05,-13.09,1.303,11.661,-17.266,18.126,-0.6203
-1.517,-13.09,1.303,11.661,-17.266,18.126,-0.1731
0.928,-13.09,1.303,11.661,-17.266,18.126,0.0273
2.684,-13.09,1.303,11.661,-17.266,18.126,0.1837
6.064,-13.09,1.303,11.661,-17.266,18.126,0.568
7.371,-13.09,1.303,11.661,-17.266,18.126,0.7457
7.794,-13.09,1.303,11.661,-17.266,18.126,0.8059
8.499,-13.09,1.303,11.661,-17.266,18.126,0.9085
9.573,-13.09,1.303,11.661,-17.266,18.126,1.0679
10.905,-13.09,1.303,11.661,-17.266,18.126,1.2688
12.225,-13.09,1.303,11.661,-17.266,18.126,1.4739
12.744,-13.09,1.303,11.661,-17.266,18.126,1.5563
-13.933,-11.11,-11.626,19.77,-7.98,9.523,-1.7236
-12.458,-11.11,-11.626,19.77,-7.98,9.523,-1.4854
-11.162,-11.11,-11.626,19.77,-7.98,9.523,-1.2823
-10.119,-11.11,-11.626,19.77,-7.98,9.523,-1.1239
-3.708,-11.11,-11.626,19.77,-7.98,9.523,-0.2793
-2.962,-11.11,-11.626,19.77,-7.98,9.523,-0.1987
-2.503,-11.11,-11.626,19.77,-7.98,9.523,-0.1549
-1.47,-11.11,-11.626,19.77,-7.98,9.523,-0.0589
-1.396,-11.11,-11.626,19.77,-7.98,9.523,-0.0521
-0.219,-11.11,-11.626,19.77,-7.98,9.523,0.0535
1.106,-11.11,-11.626,19.77,-7.98,9.523,0.1709
5.655,-11.11,-11.626,19.77,-7.98,9.523,0.6338
6.275,-11.11,-11.626,19.77,-7.98,9.523,0.707
6.955,-11.11,-11.626,19.77,-7.98,9.523,0.7918
-12.439,-10.1,-5.712,6.248,1.05,18.233,-1.6176
-11.714,-10.1,-5.712,6.248,1.05,18.233,-1.5012
-11.386,-10.1,-5.712,6.248,1.05,18.233,-1.4494
-10.968,-10.1,-5.712,6.248,1.05,18.233,-1.3841
-6.353,-10.1,-5.712,6.248,1.05,18.233,-0.7534
-4.166,-10.1,-5.712,6.248,1.05,18.233,-0.5007
-2.698,-10.1,-5.712,6.248,1.05,18.233,-0.3478
0.54,-10.1,-5.712,6.248,1.05,18.233,-0.0481
3.248,-10.1,-5.712,6.248,1.05,18.233,0.2242
3.527,-10.1,-5.712,6.248,1.05,18.233,0.2564
5.645,-10.1,-5.712,6.248,1.05,18.233,0.5209
6.372,-10.1,-5.712,6.248,1.05,18.233,0.617
9.373,-10.1,-5.712,6.248,1.05,18.233,1.041
9.517,-10.1,-5.712,6.248,1.05,18.233,1.0626
-5.957,-7.79,14.613,0.003,-19.644,9.977,-0.7611
-4.687,-7.79,14.613,0.003,-19.644,9.977,-0.5979
-1.102,-7.79,14.613,0.003,-19.644,9.977,-0.1941
0.027,-7.79,14.613,0.003,-19.644,9.977,-0.0822
3.282,-7.79,14.613,0.003,-19.644,9.977,0.2662
4.903,-7.79,14.613,0.003,-19.644,9.977,0.4675
4.932,-7.79,14.613,0.003,-19.644,9.977,0.4713
5.68,-7.79,14.613,0.003,-19.644,9.977,0.5679
6.518,-7.79,14.613,0.003,-19.644,9.977,0.6789
9.403,-7.79,14.613,0.003,-19.644,9.977,1.0848
10.515,-7.79,14.613,0.003,-19.644,9.977,1.2507
12.397,-7.79,14.613,0.003,-19.644,9.977,1.5504
12.741,-7.79,14.613,0.003,-19.644,9.977,1.6072
13.895,-7.79,14.613,0.003,-19.644,9.977,1.8023
