ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLN
5.127,-2.17,-8.576,8.673,11.365,-1.332,0.08
5.593,-2.17,-8.576,8.673,11.365,-1.332,0.0785
6.515,-2.17,-8.576,8.673,11.365,-1.332,0.0773
7.473,-2.17,-8.576,8.673,11.365,-1.332,0.0791
-8.499,5.3,18.951,8.73,-0.482,6.793,-0.082
-6.76,5.3,18.951,8.73,-0.482,6.793,-0.0661
-6.189,5.3,18.951,8.73,-0.482,6.793,-0.065
-5.82,5.3,18.951,8.73,-0.482,6.793,-0.0644
2.022,5.3,18.951,8.73,-0.482,6.793,-0.0539
4.345,5.3,18.951,8.73,-0.482,6.793,-0.0532
4.658,5.3,18.951,8.73,-0.482,6.793,-0.0529
4.712,5.3,18.951,8.73,-0.482,6.793,-0.0529
4.822,5.3,18.951,8.73,-0.482,6.793,-0.0528
9.33,5.3,18.951,8.73,-0.482,6.793,-0.0633
9.354,5.3,18.951,8.73,-0.482,6.793,-0.0635
9.663,5.3,18.951,8.73,-0.482,6.793,-0.0666
13.235,5.3,18.951,8.73,-0.482,6.793,-0.0727
14.016,5.3,18.951,8.73,-0.482,6.793,-0.0654
-9.083,-13.09,1.303,11.661,-17.266,18.126,-0.187
-8.141,-13.09,1.303,11.661,-17.266,18.126,-0.1918
-6.05,-13.09,1.303,11.661,-17.266,18.126,-0.2011
-1.517,-13.09,1.303,11.661,-17.266,18.126,-0.2227
0.928,-13.09,1.303,11.661,-17.266,18.126,-0.2263
2.684,-13.09,1.303,11.661,-17.266,18.126,-0.2307
6.064,-13.09,1.303,11.661,-17.266,18.126,-0.2087
7.371,-13.09,1.303,11.661,-17.266,18.126,-0.202
7.794,-13.09,1.303,11.661,-17.266,18.126,-0.2001
8.499,-13.09,1.303,11.661,-17.266,18.126,-0.1971
9.573,-13.09,1.303,11.661,-17.266,18.126,-0.1923
10.905,-13.09,1.303,11.661,-17.266,18.126,-0.1853
12.225,-13.09,1.303,11.661,-17.266,18.126,-0.1776
12.744,-13.09,1.303,11.661,-17.266,18.126,-0.1745
-13.933,-11.11,-11.626,19.77,-7.98,9.523,-0.0972
-12.458,-11.11,-11.626,19.77,-7.98,9.523,-0.1104
-11.162,-11.11,-11.626,19.77,-7.98,9.523,-0.1225
-10.119,-11.11,-11.626,19.77,-7.98,9.523,-0.1329
-3.708,-11.11,-11.626,19.77,-7.98,9.523,-0.1617
-2.962,-11.11,-11.626,19.77,-7.98,9.523,-0.1608
-2.503,-11.11,-11.626,19.77,-7.98,9.523,-0.16
-1.47,-11.11,-11.626,19.77,-7.98,9.523,-0.1577
-1.396,-11.11,-11.626,19.77,-7.98,9.523,-0.1575
